Top pages,Clicks,Impressions,CTR,Position
https://www.local-answer.com/locations/mckinney,0,45,0%,67.07
https://www.local-answer.com/locations/frisco,0,33,0%,71.64
https://www.local-answer.com/locations/rowlett,0,30,0%,77.63
https://www.local-answer.com/locations/denton,0,28,0%,66.89
https://www.local-answer.com/locations/kennedale,0,27,0%,53.67
https://www.local-answer.com/locations/rockwall,0,21,0%,64.43
https://www.local-answer.com/locations/farmers-branch,0,20,0%,78.05
https://www.local-answer.com/locations/coppell,0,19,0%,74.21
https://www.local-answer.com/locations/carrollton,0,16,0%,58.19
https://www.local-answer.com/locations/lewisville,0,13,0%,60.54
https://www.local-answer.com/locations/richardson,0,11,0%,47.64
https://www.local-answer.com/locations/wylie,0,11,0%,49.27
https://www.local-answer.com/locations/mansfield,0,8,0%,55
https://www.local-answer.com/locations/little-elm,0,8,0%,66.88
https://www.local-answer.com/locations/lancaster,0,8,0%,78.88
https://www.local-answer.com/locations/the-colony,0,8,0%,82.12
https://www.local-answer.com/locations/arlington,0,7,0%,55.71
https://www.local-answer.com/locations/colleyville,0,7,0%,62.71
https://www.local-answer.com/locations/allen,0,6,0%,24.17
https://www.local-answer.com/locations/garland,0,6,0%,65.83
https://www.local-answer.com/locations/haslet,0,5,0%,61
https://www.local-answer.com/locations/flower-mound,0,5,0%,61.8
https://www.local-answer.com/locations/southlake,0,4,0%,84.5
https://www.local-answer.com/locations/sachse,0,4,0%,85.5
https://www.local-answer.com/locations/sunnyvale,0,3,0%,20.33
https://www.local-answer.com/locations/azle,0,3,0%,70
https://www.local-answer.com/locations/keller,0,3,0%,82
https://www.local-answer.com/locations/burleson,0,3,0%,88
https://www.local-answer.com/locations/desoto,0,3,0%,90.33
https://www.local-answer.com/locations/north-richland-hills,0,2,0%,28
https://www.local-answer.com/locations/lucas,0,2,0%,37
https://www.local-answer.com/locations/duncanville,0,2,0%,45.5
https://www.local-answer.com/locations/anna,0,2,0%,56.5
https://www.local-answer.com/locations/benbrook,0,2,0%,57.5
https://www.local-answer.com/locations/plano,0,2,0%,71
https://www.local-answer.com/locations/murphy,0,2,0%,75.5
https://www.local-answer.com/locations/heath,0,2,0%,77.5
https://www.local-answer.com/locations/grapevine,0,2,0%,86.5
https://www.local-answer.com/locations/mesquite,0,2,0%,90
https://www.local-answer.com/locations/corinth,0,1,0%,34
https://www.local-answer.com/locations/terrell,0,1,0%,45
https://www.local-answer.com/locations/aubrey,0,1,0%,47
https://www.local-answer.com/locations/prosper,0,1,0%,53
https://www.local-answer.com/locations/forney,0,1,0%,60
https://www.local-answer.com/locations/argyle,0,1,0%,67
https://www.local-answer.com/locations/dallas,0,1,0%,86
https://www.local-answer.com/services/cooling,0,1,0%,91
https://www.local-answer.com/locations/grand-prairie,0,1,0%,94
https://www.local-answer.com/locations/royse-city,0,1,0%,99
