# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: casey response
# Property: local answer
# ----------------------------------------
# 
# All Users
# Start date: 20260206
# End date: 20260215
Page path and screen class,Landing page + query string,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/,/,110,43,2.558139534883721,73.27906976744185,304,0,0
/pro-tips,/,4,2,2,123.5,6,0,0
/services/commercial,/,4,2,2,17.5,4,0,0
/,/privacy,3,1,3,107,6,0,0
/services/commercial/epdm-flat-roofing,/,3,1,3,41,4,0,0
/,/about,2,1,2,1571,4,0,0
/about,/about,2,1,2,27,7,0,0
/locations,/llm.txt,2,1,2,13,2,0,0
/privacy,/about,2,1,2,0,2,0,0
/privacy,/privacy,2,1,2,2,4,0,0
/services/commercial/tpo-roofing,/,2,2,1,26.5,3,0,0
/services/repairs,/,2,2,1,147.5,4,0,0
/terms,/about,2,1,2,0,2,0,0
/terms,/privacy,2,1,2,5,3,0,0
/,/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEejP8JqIerCmcwiUaPGaTE8cwfcNssUh7OomZx4YrhizIRPBAU4oab9ZlZ4Jo_aem_aLpRrQIbxABvXjuaHH031Q,1,1,1,6,4,0,0
/,/financing,1,1,1,14,2,0,0
/,/llm.txt,1,1,1,6,4,0,0
/about,/,1,1,1,5,1,0,0
/about,/privacy,1,1,1,78,1,0,0
/cmd_sco,/,1,1,1,5,2,0,0
/financing,/financing,1,1,1,4,3,0,0
/llm.txt,/llm.txt,1,1,1,1,2,0,0
/locations,/,1,1,1,152,1,0,0
/locations,/locations/burleson,1,1,1,2,2,0,0
/locations/allen,/locations/burleson,1,1,1,1,2,0,0
/locations/anna,/locations/burleson,1,1,1,4,2,0,0
/locations/argyle,/locations/burleson,1,1,1,2,2,0,0
/locations/burleson,/locations/burleson,1,1,1,3,4,0,0
/locations/princeton,/llm.txt,1,1,1,3,1,0,0
/locations/richardson,/llm.txt,1,1,1,2,1,0,0
/pro-tips/why-chemical-drain-cleaners-bad,/,1,1,1,9,1,0,0
/services/cooling,/,1,1,1,8,1,0,0
/services/cooling,/privacy,1,1,1,244,1,0,0
/services/heating,/,1,1,1,3,1,0,0
/tel:+1-469-259-4385,/,1,1,1,7,2,0,0
/,,0,0,0,0,2,0,0
/,(not set),0,3,0,0,16,0,0
/locations,(not set),0,1,0,0,2,0,0
/services/commercial/tpo-roofing,(not set),0,1,0,0,2,0,0
/services/repairs,(not set),0,1,0,0,2,0,0
